SENSE    1    ALL    Personal'    50'    Instantaneous    This spell can be cast in any of the four standard elements. It allows the caster to sense the presence, quantity, and rough location of elemental spirits (not the evil spirits known as kansen) of that element within the range of the spell. This is most frequently applied when looking for spirits with which to Commune (see below), but can also be useful as a crude, basic location device. For example, a caster lost in the wilderness could cast Sense (Water) in hopes of locating a source of drinking water
SUMMON    1    ALL    30'    1 cubic foot of summoned material'    Permanent    This spell can be cast in any of the four standard elements. It allows the caster to summon a modest quantity (one cubic foot) of the chosen element. The summoned matter appears (usually in a rough ball shape) in any open space within the spell’s range. This cannot place the summoned material inside another physical object or living creature. The summoned element will behave in a normal and mundane matter – earth falls to the ground, water soaks anything it lands on, air blows away, and fi re winks out unless there is something present for it to burn. In general it is impossible to use this spell effectively in combat, although clever shugenja may find a few modest combat uses, such as using Summon (Fire) to ignite a foe soaked in cooking oil. More commonly, the spell’s value is in simpler functions, such as summoning Water while in a desert, or summoning Fire to light a campfire without flint and tinder. Raises may be used with this spell to summon a more specific type of the appropriate element, such as wood or iron with Earth, or tea with Water. The GM should choose how many Raises (generally anywhere from 1 to 4) this requires. However, these Raises cannot be used to create rare/precious materials (such as gold) or spiritually powerful substances (such as jade or crystal).
COMMUNE    1    ALL    20'    Self    Concentration    This spell can be cast in any element save Void. It allows the caster to speak with one of the local elemental kami, asking it a few questions, which it will answer honestly to the best of its ability. Typically this spell will invoke the most active and energetic spirit of the chosen element in the area of effect; if all of the local spirits are quiescent, the GM may require the caster to call 1 or 2 Raises to “wake up” a local spirit enough to answer questions. A spirit reached with Commune will answer two questions. The caster may Raise to get more questions (one per Raise). The caster may also Raise for clarity, to get a more accurate and informative answer to the questions. (Kami are notorious for their inability to fully comprehend human behavior, and asking questions without Raises for clarity can often result in confusing, enigmatic, or incomplete answers.) Spirits do not forget anything, so theoretically a shugenja can ask a spirit about something that happened decades ago; however, they also do not experience time in the same way as mortals, so trying to ask about something from long ago will usually require Raises in order to make the caster’s wishes clear to the spirit.
BLESSED WIND    1    AIR    Personal    10' radius around the caster    Concentration    You summon a swirling aura of winds to protect you from ranged attacks. The buffeting winds defl ect arrows and other projectiles. While you maintain your concentration, this spell adds +15 to your Armor TN versus all non-magical ranged attacks.
BY THE LIGHT OF THE MOON    1    AIR    Personal    20' radius around the caster    1 minute    You call upon the kami to reveal that which has been hidden. All concealed objects within the area of effect appear as slightly luminous outlines to you. Any non-magical concealment is revealed, including secret compartments, trap doors, concealed weapons, etc. Only you can see the presence of these objects.
CLOAK OF NIGHT    1    AIR    Touch    One object    1 hour    You can call upon the kami to wrap an object in their embrace, hiding it from the sight of mortal beings. You may target any one non-living object smaller than you. This object becomes invisible to the naked eye. Attempts to perceive it magically will automatically succeed if the Mastery Level of the spell used is higher than that of this spell. Spells of equal Mastery Level require a Contested Air Roll to detect the hidden object. The object is still physically present and can be touched, smelled, or sensed with any normal sense other than vision.
LEGACY OF KAZE-NO-KAMI    1    AIR    School Rank x10 miles    One known individual within range    Special    You are able to call upon the spirits of the wind to take formas a bird and carry a message for you. The bird that is created by this spell appears perfectly normal in all regards, but if it takes any damage it dissipates into wind immediately, ending the spell. Upon creating the bird, you may speak to it, giving it a spoken message of up to one minute in length. The bird will then fl y away to deliver the message to the person (or persons) specifi ed when the spell is cast. The bird will fl y to their location, deliver the message via a whisper (it can be overheard by others, but not easily), and then disappear. If the bird is unable to reach the individual, but they are within range (if they are within a building with no windows, for instance) it will remain outside waiting for up to one week before disappearing. If the person specifi ed by the spell is not within range, the bird will fl y away in a random direction and disappear when it is out of your line of sight.
NATURE’S TOUCH    1    AIR    10'    One creature    Special    You are able to use the spirits of the wind to speak to an animal and ensure that it understands what you are saying. This spell works only on natural animals, and will not work with Shadowlands creatures or creatures from other realms. It does not guarantee that the animal will regard you positively or that it will fulfill requests made of it, but the creature will understand anything you tell it (within its ability to do so, naturally – political relationships will have no meaning to a horse, no matter how many times you explain them). This spell lasts as long as you maintain your full and undivided attention on the animal and continue speaking to it.
TEMPEST OF AIR    1    AIR    Personal    A cone 75’ long and 15’ wide at its end    Instantaneous    You summon a powerful gust of air emanating from your position that crashes into all in its path, knocking them to the ground. All targets within the area of effect suffer 1k1 Wounds and must make a Contested Roll using their Earth against your Air. Every target that fails suffers Knockdown.
TOKEN OF MEMORY    1    AIR    10'    One small (1 cubic foot or smaller) illusory object    1 hour    You can create a flawless illusion of one object. The item appears real in every way up until the spell expires, at which point it disappears. If you are attempting to create a specific, familiar object, such as another samurai’s katana, you must declare one Raise, and that individual may make a Contested Roll using his Perception against the total of your Spell Casting Roll to detect the forgery. Images created by this spell are completely stationary, and if placed in a situation where they must move (such as floating in water), disappear instantly. An image of a katana could be created sitting on a rack, for example, but not in a samurai’s obi because it would not be able to move with the samurai. Objects created with this spell have no true physical substance and cannot bear weight or inflict damage.
