Daidoji Bushi    Stamina    Agility
Doji Courtier    Awareness    Awareness
Asahina Shungenja    Intelligence    Awareness
Kakita Bushi    Agility    Reflexes
Ide Courtier    Perception    Awareness
Moto Bushi    Strength    Agility
Utaku Battle Maiden    Stamina    Reflexes
Iuchi Shugenja    Intelligence    Perception
Yoritomo Bushi    Stamina    Strength
Tsuruchi Archer    Perception    Reflexes
Yoritomo Courtier    Stamina    Willpower
Moshi Shugenja    Intelligence    Awareness
Bayushi Bushi    Agility    Intelligence
Bayushi Courtier    Agility    Awareness
Shosuro Infiltrator    Awareness    Reflexes
Mirumoto Bushi    Agility    Stamina
Agasha Shugenja    Perception    Intelligence
Kitsuki Investigator    Awareness    Perception
Togashi Monk    Reflexes    Void
Shiba Bushi    Perception    Agility
Isawa Shugenja    Willpower    Intelligence
Asako Loremaster    Awareness    Intelligence
Akodo Bushi    Agility    Perception
Matsu Berserker    Strength    Strength
Ikoma Bard    Awareness    Intelligence
Kitsu Shugenja    Intelligence    Perception
Hida Bushi    Strength    Stamina
Hiruma Bushi    Agility    Willpower
Kuni Shugenja    Intelligence    Willpower
Yasuki Courtier    Perception    Awareness
Daidoji Iron Warriors    Stamina    Agility
Tamori Shugenja    Stamina    Willpower
Shoshi Shugenja    Awareness    Intelligence
Ide Emissary    Awareness    Perception
Chuda Shugenja    Willpower    Intelligence
Daigotsu Bushi    Strength    Stamina
Daigotsu Courtier    Perception    Stamina
Order Of the Spider Monks    Agility    Reflexes
